DL-2-Amino-2-methylpentanedioic acid (2-Methylglutamic acid),2-Methylglutamic acid,C[C@](N)(CCC(O)=O)C(O)=O
DL-2-Aminohexanedioic acid,DL-2-Aminohexanedioic acid,
DL-2-Amino-3-hydroxypentanedioic acid (3-Hydroxyglutamic acid),3-Hydroxyglutamic acid,N[C@@H](C(O)CC(O)=O)C(O)=O
(3-Aminopropyl)malonic acid,(3-Aminopropyl)malonic acid,NCCCC(C(O)=O)C(O)=O
L-2-Amino-3-phosphopropanoic acid (Phosphoserine),Phosphoserine,N[C@@H](CO[P](O)(O)=O)C(O)=O
L-2-Amino-2-methyl-3-phosphopropanoic acid,L-2-Amino-2-methyl-3-phosphopropanoic acid,
L-2-Amino-3-phosphobutanoic acid (Phosphothreonine),Phosphothreonine,C[C@@H](O[P](O)(O)=O)[C@H](N)C(O)=O
DL-2-Amino-3-(phenylphospho)propanoic acid,DL-2-Amino-3-(phenylphospho)propanoic acid,
DL-2-Amino-3-phosphonopropanoic acid,DL-2-Amino-3-phosphonopropanoic acid,
DL-2-Amino-4-phosphonobutanoic acid,DL-2-Amino-4-phosphonobutanoic acid,
DL-3-Amino-2-phosphonopropanoic acid,DL-3-Amino-2-phosphonopropanoic acid,
D-3-Amino-3-carboxypropanohydroxamic acid (Asparagine hydroxamic acid),Asparagine hydroxamic acid,N[C@@H](CC(N)=O)C(=O)NO
DL-2-Amino-3-(2-hydroxyphenyl)propanoic acid (o-Tyrosine),o-Tyrosine,NC(Cc1ccccc1O)C(O)=O
DL-2-Amino-3-(3-hydroxyphenyl)propanoic acid (m-Tyrosine),m-Tyrosine,NC([C@H](O)c1ccccc1)C(O)=O
L-2-Amino-3-(4-hydroxyphenyl)propanoic acid (Tyrosine),Tyrosine,N[C@@H](Cc1ccc(O)cc1)C(O)=O
L-2-Amino-2-methyl-3-(4-hydroxyphenyl)propanoic acid (L-Methyltyrosine),L-Methyltyrosine,
"L-2-Amino-3-(4-hydroxy-3,5-diiodophenyl)propanoic acid (L-3,5-Diiodotyrosine)","L-3,5-Diiodotyrosine",NC(Cc1cc(I)c(O)c(I)c1)C(O)=O
DL-2-Amino-3-(3-hydroxy-4-methoxyphenyl)propanoic acid,DL-2-Amino-3-(3-hydroxy-4-methoxyphenyl)propanoic acid,
DL-2-Amino-3-(4-hydroxy-3-methoxyphenyl)propanoic acid,DL-2-Amino-3-(4-hydroxy-3-methoxyphenyl)propanoic acid,
L-2-Amino-3-(3-amino-4-hydroxyphenyl)propanoic acid (m-Aminotyrosine),m-Aminotyrosine,N[C@@H](Cc1ccc(O)c(N)c1)C(O)=O
"DL-2-Amino-2-(3,4-dihydroxyphenyl)acetic acid (DOPG)",DOPG,CCCCCCCC/C=C/CCCCCCCC(=O)OCC(CO[P](O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C\CCCCCCCC
"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",DOPA,N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O
"L-2-Amino-2-methyl-3-(3,4-dihydroxyphenyl)propanoic acid (L-2-MethylDOPA)",L-2-MethylDOPA,
L-2-Amino-3-hydroxypropanoic acid (Serine),Serine,N[C@@H](CO)C(O)=O
L-2-Amino-3-hydroxybutanoic acid (Threonine),Threonine,C[C@@H](O)[C@H](N)C(O)=O
