4-(2-Aminoethyl)-2-methoxyphenol,4-(2-Aminoethyl)-2-methoxyphenol,COc1cc(CCN)ccc1O
5-(2-Aminoethyl)-2-methoxyphenol,5-(2-Aminoethyl)-2-methoxyphenol,COc1ccc(CCN)cc1O
DL-Tyrosine methyl ester,DL-Tyrosine methyl ester,COC(=O)C(N)Cc1ccc(O)cc1
L-Tyrosine ethyl ester,L-Tyrosine ethyl ester,CCOC(=O)[C@@H](N)Cc1ccc(O)cc1
L-Tyrosinamide,L-Tyrosinamide,N[C@@H](Cc1ccc(O)cc1)C(N)=O
Glycylglycyl-L-tyrosine methylamide,Glycylglycyl-L-tyrosine methylamide,CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)CN
L-Tyrosyl-D-alanylglycyl-L-phenylalanine 1-hydroxy-3-methylbutylamide,L-Tyrosyl-D-alanylglycyl-L-phenylalanine 1-hydroxy-3-methylbutylamide,CC(C)CC(O)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc2ccc(O)cc2
L-Tyrosylglycylglycyl-L-phenylalanyl-L-methionine methylamide,L-Tyrosylglycylglycyl-L-phenylalanyl-L-methionine methylamide,CNC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2
L-Tyrosyl-D-alanylglycyl-L-phenylalanyl-L-methionine dimethylamide,L-Tyrosyl-D-alanylglycyl-L-phenylalanyl-L-methionine dimethylamide,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N(C)C
L-Tyrosyl-D-alanylglycyl-L-phenylalanyl-L-methionine 2-aminoethylamide,L-Tyrosyl-D-alanylglycyl-L-phenylalanyl-L-methionine 2-aminoethylamide,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCCN
"2-(3,4-Dihydroxyphenyl)ethylamine (Dopamine)",Dopamine,NCCc1ccc(O)c(O)c1
"L-2-Amino-1-(3,4-Dihydroxyphenyl)ethanol (Noradrenaline) (Norepinephrine)",Norepinephrine,NCC(O)c1ccc(O)c(O)c1
Daunorubicin,Daunorubicin,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(C)=O
2-Aminoethanol (Ethanolamine),Ethanolamine,NCCO
DL-1-Amino-2-propanol,DL-1-Amino-2-propanol,CC(O)CN
3-Aminopropanol,3-Aminopropanol,NCCCO
4-Aminobutanol,4-Aminobutanol,NCCCCO
5-Aminopentanol,5-Aminopentanol,NCCCCCO
6-Aminohexanol,6-Aminohexanol,NCCCCCCO
DL-2-Aminobutanol,DL-2-Aminobutanol,
2-Amino-2-methylpropanol,2-Amino-2-methylpropanol,CC(C)(N)CO
DL-2-Amino-1-phenylethanol,DL-2-Amino-1-phenylethanol,NCC(O)c1ccccc1
DL-Serine methyl ester,DL-Serine methyl ester,COC(=O)C(N)CO
"3-Amino-1,2-propanediol","3-Amino-1,2-propanediol",NCC(O)CO
"2-Amino-2-methyl-1,3-propanediol (BIS)",BIS,C=CC(=O)NCNC(=O)C=C
"L(+)-threo-2-Amino-1-phenyl-1,3-propanediol","L(+)-threo-2-Amino-1-phenyl-1,3-propanediol",
"2-Amino-2-hydroxymethyl-1,3-propanediol (THAM)(TRIS)",TRIS,NC(CO)(CO)CO
2-Amino-2-deoxy-D-glucopyranose (D-Glucosamine),D-Glucosamine,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
1-Methoxy-D-glucosamine,1-Methoxy-D-glucosamine,COC1(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1N
3-Methoxy-D-glucosamine,3-Methoxy-D-glucosamine,CO[C@@]1(O)[C@@H](N)C(O)O[C@H](CO)[C@H]1O
"3,4,6-Trimethoxy-D-glucosamine","3,4,6-Trimethoxy-D-glucosamine",COC(O)[C@H]1OC(O)[C@H](N)[C@](O)(OC)[C@@]1(O)OC
D-Galactosamine,D-Galactosamine,N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O
D-Mannosamine,D-Mannosamine,N[C@@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
D-Talosamine,D-Talosamine,
Methoxyamine,Methoxyamine,CON
2-Methoxyethylamine,2-Methoxyethylamine,COCCN
2-(2-Aminoethoxy)ethanol (Diglycolamine),Diglycolamine,NCCOCCO
2-Furylmethylamine (2-(Aminomethyl)furan),2-Furylmethylamine (2-(Aminomethyl)furan),NCc1occc1.NCc2occc2
4-Methoxybenzylamine,4-Methoxybenzylamine,COc1ccc(CN)cc1
"2-(3,4-Dimethoxyphenyl)ethylamine","2-(3,4-Dimethoxyphenyl)ethylamine",COc1ccc(CCN)cc1OC
Glycine methyl ester,Glycine methyl ester,COC(=O)CN
Glycine ethyl ester,Glycine ethyl ester,CCOC(=O)CN
Glycine butyl ester,Glycine butyl ester,CCCCOC(=O)CN
DL-Alanine methyl ester,DL-Alanine methyl ester,COC(=O)C(C)N
DL-Alanine ethyl ester,DL-Alanine ethyl ester,CCOC(=O)C(C)N
DL-2-Aminobutanoic acid methyl ester,DL-2-Aminobutanoic acid methyl ester,
DL-Norvaline methyl ester,DL-Norvaline methyl ester,CCCC(N)C(=O)OC
DL-Norleucine methyl ester,DL-Norleucine methyl ester,CCCCC(N)C(=O)OC
DL-Valine methyl ester,DL-Valine methyl ester,COC(=O)C(N)C(C)C
DL-Valine ethyl ester,DL-Valine ethyl ester,CCOC(=O)C(N)C(C)C
DL-Leucine methyl ester,DL-Leucine methyl ester,COC(=O)C(N)CC(C)C
DL-Leucine ethyl ester,DL-Leucine ethyl ester,CCOC(=O)C(N)CC(C)C
DL-Isoleucine methyl ester,DL-Isoleucine methyl ester,CCC(C)C(N)C(=O)OC
L-Phenylalanine methyl ester,L-Phenylalanine methyl ester,COC(=O)[C@@H](N)Cc1ccccc1
DL-Phenylalanine ethyl ester,DL-Phenylalanine ethyl ester,CCOC(=O)C(N)Cc1ccccc1
DL-O-Methyltyrosine ethyl ester,DL-O-Methyltyrosine ethyl ester,
DL-Glutamic acid dimethyl ester,DL-Glutamic acid dimethyl ester,COC(=O)CCC(N)C(=O)OC
DL-Glutamic acid diethyl ester,DL-Glutamic acid diethyl ester,CCOC(=O)CCC(N)C(=O)OCC
3-Aminopropanoic acid methyl ester,3-Aminopropanoic acid methyl ester,COC(=O)CCN
3-Aminopropanoic acid ethyl ester (beta-Alanine ethyl ester),beta-Alanine ethyl ester,CCOC(=O)CCN
4-Aminobutanoic acid methyl ester,4-Aminobutanoic acid methyl ester,COC(=O)CCCN
4-Aminobutanoic acid ethyl ester,4-Aminobutanoic acid ethyl ester,CCOC(=O)CCCN
5-Aminopentanoic acid ethyl ester,5-Aminopentanoic acid ethyl ester,CCOC(=O)CCCCN
Glycinamide,Glycinamide,NCC(N)=O
Glycine ethylamide,Glycine ethylamide,CCNC(=O)CN
Glycine diethylamide,Glycine diethylamide,CCN(CC)C(=O)CN
L-Alaninamide,L-Alaninamide,C[C@H](N)C(N)=O
2-Methylalaninamide,2-Methylalaninamide,CC(C)(N)C(N)=O
L-Valinamide,L-Valinamide,CC(C)[C@H](N)C(N)=O
L-Leucine methylamide,L-Leucine methylamide,CNC(=O)[C@@H](N)CC(C)C
L-Phenylalaninamide,L-Phenylalaninamide,N[C@@H](Cc1ccccc1)C(N)=O
beta-Alaninamide,beta-Alaninamide,NCCC(N)=O
beta-Alanine diethylamide,beta-Alanine diethylamide,CCN(CC)C(=O)CCN
Prolinamide,Prolinamide,NC(=O)[C@@H]1CCCN1
"D-4-Amino-1,2-oxazolidin-3-one (D-Cycloserine)",D-Cycloserine,NC1CONC1=O
Glycylglycinamide,Glycylglycinamide,NCC(=O)NCC(N)=O
Glycyl-beta-alaninamide,Glycyl-beta-alaninamide,NCC(=O)NCCC(N)=O
beta-Alanylglycinamide,beta-Alanylglycinamide,NCCC(=O)NCC(N)=O
beta-Alanyl-beta-alaninamide,beta-Alanyl-beta-alaninamide,NCCC(=O)NCCC(N)=O
DL-Alanyl-2-methylalaninamide,DL-Alanyl-2-methylalaninamide,CC(N)C(=O)NC(C)(C)C(N)=O
2-Methylalanyl-2-methylalaninamide,2-Methylalanyl-2-methylalaninamide,CC(C)(N)C(=O)NC(C)(C)C(N)=O
Glycylglycylglycinamide,Glycylglycylglycinamide,NCC(=O)NCC(=O)NCC(N)=O
L-Phenylalanylglycylglycinamide,L-Phenylalanylglycylglycinamide,N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCC(N)=O
2-Methylalanyl-2-methylalanyl-2-methylalaninamide,2-Methylalanyl-2-methylalanyl-2-methylalaninamide,CC(C)(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(N)=O
Glycylglycylglycylglycinamide,Glycylglycylglycylglycinamide,NCC(=O)NCC(=O)NCC(=O)NCC(N)=O
L-Serine amide,L-Serine amide,N[C@@H](CO)C(N)=O
Glycylglycine methyl ester,Glycylglycine methyl ester,COC(=O)CNC(=O)CN
Glycylglycine ethyl ester,Glycylglycine ethyl ester,CCOC(=O)CNC(=O)CN
Glycylsarcosine methyl ester,Glycylsarcosine methyl ester,COC(=O)CN(C)C(=O)CN
Glycylglycylglycine ethyl ester (Ethyl triglycine),Ethyl triglycine,
Glycylglycylglycylglycine ethyl ester (Ethyl tetraglycine),Ethyl tetraglycine,
Glycylglycylglycylglycylglycylglycine ethyl ester (Ethyl hexaglycine),Ethyl hexaglycine,
Aminoacetohydroxamic acid (Glycinehydroxamic acid),Glycinehydroxamic acid,NCC(=O)NO
L-2-Aminopropanohydroxamic acid (Alaninehydroxamic acid),Alaninehydroxamic acid,C[C@H](N)C(=O)NO
DL-2-Aminobutanohydroxamic acid,DL-2-Aminobutanohydroxamic acid,
DL-2-Aminopentanohydroxamic acid (Norvalinehydroxamic acid),Norvalinehydroxamic acid,CCC[C@H](N)C(=O)NO
DL-2-Aminohexanohydroxamic acid (Norleucinehydroxamic acid),Norleucinehydroxamic acid,CCCC[C@H](N)C(=O)NO
L-2-Amino-4-methylpentanohydroxamic acid (Leucinehydroxamic acid),Leucinehydroxamic acid,CC(C)C[C@H](N)C(=O)NO
L-2-Amino-3-methylpentanohydroxamic acid (Isoleucinehydroxamic acid),Isoleucinehydroxamic acid,CC[C@H](C)[C@H](N)C(=O)NO
DL-2-Amino-3-phenylpropanohydroxamic acid (Phenylalaninehydroxamic acid),Phenylalaninehydroxamic acid,N[C@@H](Cc1ccccc1)C(=O)NO
3-Aminopropanohydroxamic acid (beta-Alaninehydroxamic acid),beta-Alaninehydroxamic acid,NCCC(=O)NO
L-2-Amino-3-(4-hydroxyphenyl)propanohydroxamic acid (Tyrosinehydroxamic acid),Tyrosinehydroxamic acid,N[C@@H](Cc1ccc(O)cc1)C(=O)NO
DL-2-Amino-3-hydroxypropanohydroxamic acid (Serinehydroxamic acid),Serinehydroxamic acid,N[C@@H](CO)C(=O)NO
DL-2-Amino-3-hydroxybutanohydroxamic acid (Threoninehydroxamic acid),Threoninehydroxamic acid,C[C@@H](O)[C@H](N)C(=O)NO
L-2-Amino-3-(4-imidazolyl)propanohydroxamic acid (Histidinehydroxamic acid),Histidinehydroxamic acid,N[C@@H](Cc1c[nH]cn1)C(=O)NO
DL-2-Amino-3-(3-indole)propanohydroxamic acid (Tryptophanhydroxamic acid),Tryptophanhydroxamic acid,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NO
L-2-Amino-5-guanidopentanohydroxamic acid (Argininehydroxamic acid),Argininehydroxamic acid,N[C@@H](CCCNC(N)=N)C(=O)NO
Glycylglycinehydroxamic acid,Glycylglycinehydroxamic acid,NCC(=O)NCC(=O)NO
Glycylglycylglycinehydroxamic acid,Glycylglycylglycinehydroxamic acid,NCC(=O)NCC(=O)NCC(=O)NO
"L-3,3'-Dithiobis(2-Aminopropanohydroxamic acid) (Cystinedihydroxamic acid)",Cystinedihydroxamic acid,
2-Amino-2-methylbutan-3-one oxime,2-Amino-2-methylbutan-3-one oxime,CC(=NO)C(C)(C)N
2-Aminoacetamidoxime,2-Aminoacetamidoxime,NCC(N)=NO
2-Aminoethanethiol (2-Mercaptoethylamine),2-Mercaptoethylamine,NCCS
"1-(2-Aminoethyl)-1,3-diazolidine-2-thione (N-(2-Aminoethyl)ethylenethiourea)","1-(2-Aminoethyl)-1,3-diazolidine-2-thione (N-(2-Aminoethyl)ethylenethiourea)",
L-Cysteine methyl ester,L-Cysteine methyl ester,COC(=O)[C@@H](N)CS
L-Cysteine ethyl ester,L-Cysteine ethyl ester,CCOC(=O)[C@@H](N)CS
2-(Methylthio)ethylamine,2-(Methylthio)ethylamine,CSCCN
2-(Ethylthio)ethylamine,2-(Ethylthio)ethylamine,CCSCCN
2-(Propylthio)ethylamine,2-(Propylthio)ethylamine,CCCSCCN
2-(2-Methyl-2-propylthio)ethylamine,2-(2-Methyl-2-propylthio)ethylamine,CC(C)(C)SCCN
3-(Methylthio)propylamine,3-(Methylthio)propylamine,CSCCCN
2-Thienylmethylamine (2-(Aminomethyl)thiophene),2-Thienylmethylamine (2-(Aminomethyl)thiophene),NCc1sccc1.NCc2sccc2
2-(2-Aminoethylthio)ethanol,2-(2-Aminoethylthio)ethanol,NCCSCCO
L-Methionine methylamide,L-Methionine methylamide,CNC(=O)[C@@H](N)CCSC
L-Phenylalanyl-L-methionine methylamide,L-Phenylalanyl-L-methionine methylamide,CNC(=O)[C@H](CCSC)NC(=O)[C@@H](N)Cc1ccccc1
L-S-Methylcysteine methyl ester,L-S-Methylcysteine methyl ester,
L-Thioleucine methylamide,L-Thioleucine methylamide,
L-Thiomethionine methylamide,L-Thiomethionine methylamide,
DL-Methionine methyl ester,DL-Methionine methyl ester,COC(=O)C(N)CCSC
L-Thioalanyl-L-alanine methyl ester,L-Thioalanyl-L-alanine methyl ester,
2-Aminoethaneselenol,2-Aminoethaneselenol,NCC[SeH]
1-Aminopropane-2-selenol,1-Aminopropane-2-selenol,CC([SeH])CN
1-Amino-2-methylpropane-2-selenol,1-Amino-2-methylpropane-2-selenol,CC(C)([SeH])CN
3-Aminopropaneselenol,3-Aminopropaneselenol,NCCC[SeH]
2-(Methylseleno)ethylamine,2-(Methylseleno)ethylamine,C[Se]CCN
Ethylenediamine,Ethylenediamine,NCCN
"DL-Methylethylenediamine (1,2-Propylenediamine) (pn)",pn,CC(N)CN
"DL-Ethylethylenediamine (1,2-Butylenediamine)","1,2-Butylenediamine",CCC(N)CN
DL-(2-Methyl-2-propyl)ethylenediamine (t-Butylethylenediamine),t-Butylethylenediamine,CC(C)(C)NCCN
"1,1-Dimethylethylenediamine","1,1-Dimethylethylenediamine",CC(C)(N)CN
"DL-1,2-Dimethylethylenediamine (DL-2,3-Butylenediamine)","DL-2,3-Butylenediamine",
"meso-1,2-Dimethylethylenediamine (meso-2,3-Butylenediamine)","meso-2,3-Butylenediamine",
"1,1,2,2-Tetramethylethylenediamine","1,1,2,2-Tetramethylethylenediamine",CC(C)(N)C(C)(C)N
"Trimethylenediamine (1,3-Propylenediamine)","1,3-Propylenediamine",NCCCN
"DL-1-Methyltrimethylenediamine (1,3-Butylenediamine)","1,3-Butylenediamine",CC(N)CCN
"2,2-Dimethyltrimethylenediamine (2,2-Dimethyl-1,3-propylenediamine)","2,2-Dimethyl-1,3-propylenediamine",CC(C)(CN)CN
"2-Methylenetrimethylenediamine (2-Methylene-1,3-propylenediamine)","2-Methylene-1,3-propylenediamine",NCC(=C)CN
"Tetramethylenediamine (1,4-Butylenediamine) (Putrescine)",Putrescine,NCCCCN
Pentamethylenediamine (Cadaverine),Cadaverine,NCCCCCN
Hexamethylenediamine,Hexamethylenediamine,NCCCCCCN
Octamethylenediamine,Octamethylenediamine,NCCCCCCCCN
Decamethylenediamine,Decamethylenediamine,NCCCCCCCCCCN
"Bicyclohexyl-1,1'-diamine","Bicyclohexyl-1,1'-diamine",NC1(CCCCC1)C2(N)CCCCC2
"DL(trans)-Cyclohexane-1,2-diamine","DL(trans)-Cyclohexane-1,2-diamine",
"meso(cis)-Cyclohexane-1,2-diamine","meso(cis)-Cyclohexane-1,2-diamine",
"DL(trans)-Cycloheptane-1,2-diamine","DL(trans)-Cycloheptane-1,2-diamine",
"DL(trans)-Cyclohexene-4,5-diamine","DL(trans)-Cyclohexene-4,5-diamine",
"meso(cis)-Cyclohexene-4,5-diamine","meso(cis)-Cyclohexene-4,5-diamine",
DL-1-Phenylethylenediamine,DL-1-Phenylethylenediamine,
"1,3-Diamino-2-propanol (2-Hydroxytrimethylenediamine)",2-Hydroxytrimethylenediamine,NCC(O)CN
"4-Oxa-1,7-diazaheptane (Oxybis(ethyleneamine))","4-Oxa-1,7-diazaheptane (Oxybis(ethyleneamine))",
"4,7-Dioxa-1,10-diazadecane (Ethylenebis(oxyethyleneamine))","4,7-Dioxa-1,10-diazadecane (Ethylenebis(oxyethyleneamine))",
"DL-2,3-Diaminopropanoic acid methyl ester","DL-2,3-Diaminopropanoic acid methyl ester",
"DL-2,4-Diaminobutanoic acid methyl ester","DL-2,4-Diaminobutanoic acid methyl ester",
"DL-2,5-Diaminopentanoic acid methyl ester (DL-Ornithine methyl ester)",DL-Ornithine methyl ester,COC(=O)C(N)CCCN
"DL-2,6-Diaminohexanoic acid methyl ester (DL-Lysine methyl ester)",DL-Lysine methyl ester,COC(=O)C(N)CCCCN
"N,N'-Diglycylethylenediamine (DGEN)",DGEN,
"N,N'-Diglycyl-D-1,2-propylenediamine (DGPN)",DGPN,
"N,N'-Diglycyl-L-1,2-propylenediamine (should be same as D-isomer)",should be same as D-isomer,
"N,N'-Di-L-alanylethylenediamine (DAEN)",DAEN,
"N,N'-Di-L-alanyl-D-1,2-propylenediamine (DAPN)",DAPN,CN(C)c1cccc2c1cccc2[S](=O)(=O)NCCNCC(O)COc3cccc4ccccc34
"N,N'-Di-L-alanyl-L-1,2-propylenediamine","N,N'-Di-L-alanyl-L-1,2-propylenediamine",
"N,N'-Diglycyltrimethylenediamine","N,N'-Diglycyltrimethylenediamine",NCC(=O)NCCCNC(=O)CN
"N,N'-Diglycyltetramethylenediamine","N,N'-Diglycyltetramethylenediamine",NCC(=O)NCCCCNC(=O)CN
"N,N'-Diglycylpentamethylenediamine","N,N'-Diglycylpentamethylenediamine",NCC(=O)NCCCCCNC(=O)CN
"N,N'-Diglycylhexamethylenediamine","N,N'-Diglycylhexamethylenediamine",NCC(=O)NCCCCCCNC(=O)CN
"N,N'-Diglycyloctamethylenediamine","N,N'-Diglycyloctamethylenediamine",NCC(=O)NCCCCCCCCNC(=O)CN
"N,N'-Bis(2-aminoethyl)oxamide (BAO)(5,6-Dioxo-1,4,7,10-tetraazadecane)","5,6-Dioxo-1,4,7,10-tetraazadecane",NCCNC(=O)C(=O)NCCN
"N,N'-Bis(3-aminopropyl)oxamide (6,7-Dioxo-1,5,8,12-tetraazadodecane)","6,7-Dioxo-1,5,8,12-tetraazadodecane",NCCCNC(=O)C(=O)NCCCN
"N,N'-Bis(2-aminoethyl)malonamide (BAM)(5,7-Dioxo-1,4,8,11-tetraazaundecane)","5,7-Dioxo-1,4,8,11-tetraazaundecane",NCCNC(=O)CC(=O)NCCN
Oxamide dioxime (Diaminoglyoxime),Diaminoglyoxime,NON=C(N)C=NO
"L-2,6-Diaminohexanohydroxamic acid (Lysinehydroxamic acid)",Lysinehydroxamic acid,NCCCC[C@H](N)C(=O)NO
"4-Thia-1,7-diazaheptane (Thiobis(ethyleneamine))","4-Thia-1,7-diazaheptane (Thiobis(ethyleneamine))",
"4-Thia-1,8-diazaoctane","4-Thia-1,8-diazaoctane",NCCCSCCN
"4-Thia-1,9-diazanonane","4-Thia-1,9-diazanonane",NCCCCSCCN
"5-Thia-1,9-diazanonane","5-Thia-1,9-diazanonane",NCCCSCCCN
"5-Thia-1,10-diazadecane","5-Thia-1,10-diazadecane",NCCCCSCCCN
"6-Thia-1,11-diazaundecane","6-Thia-1,11-diazaundecane",NCCCCSCCCCN
"4,5-Dithia-1,8-diazaoctane (Dithiobis(ethyleneamine))","4,5-Dithia-1,8-diazaoctane (Dithiobis(ethyleneamine))",
"4-Oxa-7-thia-1,10-diazadecane","4-Oxa-7-thia-1,10-diazadecane",NCCOCCSCCN
"4,7-Dithia-1,10-diazadecane (Ethylenebis(thioethyleneamine))","4,7-Dithia-1,10-diazadecane (Ethylenebis(thioethyleneamine))",
"4-Selena-1,7-diazaheptane (Selenobis(ethyleneamine))","4-Selena-1,7-diazaheptane (Selenobis(ethyleneamine))",
"1,2,3-Triaminopropane","1,2,3-Triaminopropane",NCC(N)CN
"Tris(aminomethyl)methane (2,2-Bis(aminomethyl)ethylamine)","Tris(aminomethyl)methane (2,2-Bis(aminomethyl)ethylamine)",NCC(CN)CN.NCC(CN)CN
"1,1,1-Tris(aminomethyl)ethane (2,2-Bis(aminomethyl)propylamine)","1,1,1-Tris(aminomethyl)ethane (2,2-Bis(aminomethyl)propylamine)",CC(CN)(CN)CN.CC(CN)(CN)CN
"1,1,1-Tris(aminomethyl)propane (2,2-Bis(aminomethyl)butylamine)","1,1,1-Tris(aminomethyl)propane (2,2-Bis(aminomethyl)butylamine)",CCC(CN)(CN)CN.CCC(CN)(CN)CN
"cis,cis-1,3,5-Triaminocyclohexane","cis,cis-1,3,5-Triaminocyclohexane",
"1,3,5-Triamino-1,3,5-trideoxy-cis-inositol","1,3,5-Triamino-1,3,5-trideoxy-cis-inositol",
"Tetrakis(aminomethyl)methane (2,2-Bis(aminomethyl)-1,3-propylenediamine)","Tetrakis(aminomethyl)methane (2,2-Bis(aminomethyl)-1,3-propylenediamine)",NCC(CN)(CN)CN.NCC(CN)(CN)CN
"1,1,2,2-Tetrakis(2-aminoethylthio)ethane (Ethanediylidenetetrakis(thioethyleneamine))","1,1,2,2-Tetrakis(2-aminoethylthio)ethane (Ethanediylidenetetrakis(thioethyleneamine))",
"1,1,3,3-Tetrakis(2-aminoethylthio)propane (Propane-1,3-diylidenetetrakis(thioethyleneamine))","1,1,3,3-Tetrakis(2-aminoethylthio)propane (Propane-1,3-diylidenetetrakis(thioethyleneamine))",
"1,1,4,4-Tetrakis(2-aminoethylthio)butane (Butane-1,4-diylidenetetrakis(thioethyleneamine))","1,1,4,4-Tetrakis(2-aminoethylthio)butane (Butane-1,4-diylidenetetrakis(thioethyleneamine))",
"1,1,5,5-Tetrakis(2-aminoethylthio)pentane (Pentane-1,5-diylidenetetrakis(thioethyleneamine))","1,1,5,5-Tetrakis(2-aminoethylthio)pentane (Pentane-1,5-diylidenetetrakis(thioethyleneamine))",
"1,1,2,2-Tetrakis(3-aminopropylthio)ethane (Ethanediylidenetetrakis(thiotrimethyleneamine))","1,1,2,2-Tetrakis(3-aminopropylthio)ethane (Ethanediylidenetetrakis(thiotrimethyleneamine))",
"1,1,3,3-Tetrakis(3-aminopropylthio)propane (Propane-1,3-diylidenetetrakis(thiotrimethyleneamine))","1,1,3,3-Tetrakis(3-aminopropylthio)propane (Propane-1,3-diylidenetetrakis(thiotrimethyleneamine))",
"1,1,4,4-Tetrakis(3-aminopropylthio)butane (Butane-1,4-diylidenetetrakis(thiotrimethyleneamine))","1,1,4,4-Tetrakis(3-aminopropylthio)butane (Butane-1,4-diylidenetetrakis(thiotrimethyleneamine))",
"1,1,5,5-Tetrakis(3-aminopropylthio)pentane (Pentane-1,5-diylidenetetrakis(thiotrimethyleneamine))","1,1,5,5-Tetrakis(3-aminopropylthio)pentane (Pentane-1,5-diylidenetetrakis(thiotrimethyleneamine))",
"1,2-Bis[bis(2-aminoethylthio)methyl]benzene (Phthal-1,2-diylidenetetrakis(thioethyleneamine))","1,2-Bis[bis(2-aminoethylthio)methyl]benzene (Phthal-1,2-diylidenetetrakis(thioethyleneamine))",
"1,2-Bis[bis(3-aminopropylthio)methyl]benzene (Phthal-1,2-diylidenetetrakis(thiotrimethyleneamine))","1,2-Bis[bis(3-aminopropylthio)methyl]benzene (Phthal-1,2-diylidenetetrakis(thiotrimethyleneamine))",
N-Methyl-D-glucosamine,N-Methyl-D-glucosamine,
2-Methylamino-3-phenylpropanoic acid amide,2-Methylamino-3-phenylpropanoic acid amide,
Methylaminoacetohydroxamic acid (Sarcosinehydroxamic acid),Sarcosinehydroxamic acid,
L-Prolyl-L-leucinehydroxamic acid,L-Prolyl-L-leucinehydroxamic acid,
L-Prolyl-L-leucylglycinehydroxamic acid,L-Prolyl-L-leucylglycinehydroxamic acid,
Dimethylamine,Dimethylamine,
N-Methylethylamine,N-Methylethylamine,
N-Methylbutylamine,N-Methylbutylamine,
N-Methylpentylamine,N-Methylpentylamine,
Diethylamine,Diethylamine,
Dipropylamine,Dipropylamine,
Di-2-propylamine (Diisopropylamine),Diisopropylamine,
Dibutylamine,Dibutylamine,
Di-2-butylamine (Di-s-butylamine),Di-s-butylamine,
Bis(2-methylpropyl)amine (Diisobutylamine),Diisobutylamine,
Bis(3-methylbutyl)amine (Diisopentylamine),Diisopentylamine,
Dicyclopentylamine,Dicyclopentylamine,
Dicyclohexylamine,Dicyclohexylamine,
Diprop-2-enylamine (Diallylamine),Diallylamine,
N-Methylbenzylamine,N-Methylbenzylamine,
Dibenzylamine,Dibenzylamine,
"3-(1,1-Dimethyl-2-hydroxyethylamino)-2-hydroxypropanesulfonic acid (AMPSO)",AMPSO,
Cyclohexylaminoethylenesulfonic acid (CHES),CHES,
3-(Cyclohexylamino)propanesulfonic acid (CAPS),CAPS,
3-(Cyclohexylamino)-2-hydroxypropanesulfonic acid (CAPSO),CAPSO,
"(1R,2S)(-)-2-(Methylamino)-1-phenylpropanol ((-)-Ephedrine)","(1R,2S)(-)-2-(Methylamino)-1-phenylpropanol ((-)-Ephedrine)",
"(1S,2S)(+)-2-(Methylamino)-1-phenylpropanol ((+)-Psi-Ephedrine)","(1S,2S)(+)-2-(Methylamino)-1-phenylpropanol ((+)-Psi-Ephedrine)",
DL-2-(Methylamino)-1-(3-hydroxyphenyl)ethanol (Phenylephrin),Phenylephrin,
"L-2-(Methylamino)-1-(3,4-dihydroxyphenyl)ethanol (Adrenaline) (Epinephrine)",Epinephrine,
"DL-2-(2-Propylamino)-1-(3,4-dihydroxyphenyl)ethanol (Isoprenaline)",Isoprenaline,
2-(Methylamino)ethanol (N-Methylethanolamine),N-Methylethanolamine,
2-(Ethylamino)ethanol (N-Ethylethanolamine),N-Ethylethanolamine,
"2,2'-Iminodiethanol (Diethanolamine)",Diethanolamine,
"2,2'-Iminodipropanol (Diisopropanolamine)",Diisopropanolamine,
DL-2-(2-Hydroxypropylamino)ethanol,DL-2-(2-Hydroxypropylamino)ethanol,
DL-2-(3-Hydroxypropylamino)ethanol,DL-2-(3-Hydroxypropylamino)ethanol,
2-[Tris(hydroxymethyl)methylamino]ethanesulfonic acid (TES),TES,
N-Methylglycine ethyl ester (Sarcosine ethyl ester),Sarcosine ethyl ester,
2-(Carbamylmethylamino)ethanesulfonic acid [N-(2-Acetamido)-2-aminoethanesulfonic acid] (ACES),ACES,
Iminodiacetohydroxamic acid,Iminodiacetohydroxamic acid,
2-Propylamino-2-methylbutan-3-one oxime,2-Propylamino-2-methylbutan-3-one oxime,
2-Pentylamino-2-methylbutan-3-one oxime,2-Pentylamino-2-methylbutan-3-one oxime,
2-(Methylamino)acetamidoxime,2-(Methylamino)acetamidoxime,
Iminobis(acetamidoxime),acetamidoxime,
"3,3'-Iminobis(propioamidoxime)",propioamidoxime,
